ParentMaterialNumber,SalesWeekNumber,SalesOrderQtyEaches,Base_Sales,Sales_Variance_Pct,CustomerCt,Base_CustomerCt,CustomerCt_Variance_Pct,Sales_Per_Customer,Base_Sales_Per_Customer,OrderSize_Variance_Pct
70121-1169-1,14,679.0,597.5,0.13640167364016736,61.0,48.0,0.2708333333333333,11.131147540983607,12.587290685504971,-0.11568360347776839
70121-1651-1,34,211.0,136.5,0.5457875457875457,4.0,5.0,-0.2,52.75,26.75,0.9719626168224299
70121-1651-5,24,100.0,237.5,-0.5789473684210527,3.0,2.5,0.2,33.333333333333336,104.16666666666667,-0.68
70121-1652-1,34,10.0,27.0,-0.6296296296296297,1.0,1.5,-0.3333333333333333,10.0,23.5,-0.574468085106383
70121-1653-1,34,31.0,233.0,-0.8669527896995708,9.0,10.5,-0.14285714285714285,3.4444444444444446,27.057692307692307,-0.8726999921029772
70860-126-20,35,10.0,10.0,0.0,1.0,1.0,0.0,10.0,5.0,1.0
81298-5783-3,22,745.0,1067.5,-0.30210772833723654,73.0,86.0,-0.1511627906976744,10.205479452054794,12.495499181669395,-0.18326756669105354
81298-5785-3,14,20.0,8.0,1.5,1.0,1.5,-0.3333333333333333,20.0,4.5,3.4444444444444446
82260-734-05,17,7.0,9.0,-0.2222222222222222,5.0,7.0,-0.2857142857142857,1.4,1.4,0.0
83851-100-30,49,32.0,42.5,-0.24705882352941178,33.0,34.5,-0.043478260869565216,0.9696969696969697,1.2253820033955858,-0.20865740886523707
AAK696,18,4800.0,2925.0,0.6410256410256411,8.0,4.5,0.7777777777777778,600.0,671.875,-0.10697674418604651
ABB0488820,38,4200.0,3212.5,0.30739299610894943,29.0,25.0,0.16,144.82758620689654,129.20692431561997,0.12089647651637637
ACGORB06,16,3168.0,6696.0,-0.5268817204301075,4.0,5.5,-0.2727272727272727,792.0,1225.2,-0.3535749265426053
ACKNP315,40,,100.0,,,1.0,,0.0,50.0,-1.0
ADLA305222CS,13,8.0,32.0,-0.75,1.0,2.0,-0.5,8.0,8.0,0.0
ADZSS035T,42,84.0,78.0,0.07692307692307693,3.0,2.0,0.5,28.0,39.0,-0.28205128205128205
AGIAG5604,39,15.0,4.5,2.3333333333333335,8.0,5.0,0.6,1.875,0.8999999999999999,1.0833333333333335
AKNEZ100BCA,53,200.0,280.0,-0.2857142857142857,1.0,2.0,-0.5,200.0,70.0,1.8571428571428572
AKNEZ100SCA,48,81.0,158.5,-0.4889589905362776,3.0,3.5,-0.14285714285714285,27.0,47.33333333333333,-0.4295774647887323
AKQBWK00160EA,53,2191.0,8.0,272.875,4.0,1.5,1.6666666666666667,547.75,4.5,120.72222222222223
AKQMN2400B20Z,49,1160.0,340.0,2.411764705882353,4.0,2.5,0.6,290.0,140.0,1.0714285714285714
AKQN1500B16Z,49,864.0,1040.0,-0.16923076923076924,5.0,4.0,0.25,172.8,297.6,-0.41935483870967744
AKQN1500B20Z,49,5260.0,5250.0,0.0019047619047619048,16.0,10.0,0.6,328.75,506.42857142857144,-0.3508462623413258
AKQPC1500,51,25680.0,20820.0,0.2334293948126801,42.0,39.0,0.07692307692307693,611.4285714285714,537.6398671096346,0.13724559660284646
AKV8143640,50,,6.5,,,2.0,,0.0,3.25,-1.0
ALA282790,1,31658.0,38837.5,-0.18485999356292243,233.0,251.5,-0.073558648111332,135.87124463519314,155.20926348120707,-0.12459320025286641
ALA282790,8,30302.0,38837.5,-0.21977470228516255,243.0,251.5,-0.033797216699801194,124.69958847736625,155.20926348120707,-0.19657122467780394
